Year,Country,State,Type,Commodity,Value ($m)
2010,Australia,Tasmania,Livestock,Pigs,0
2010,Australia,Tasmania,Livestock,Poultry,0
2010,Australia,Tasmania,Livestock,Sheep and Lambs,41.1
2010,Australia,Northern Territory,Crops,Barley,0
2010,Australia,Northern Territory,Crops,Maize,0
2010,Australia,Northern Territory,Crops,Oats,0
2010,Australia,Northern Territory,Crops,Rice,0
2010,Australia,Northern Territory,Crops,Sorghum,0
2010,Australia,Northern Territory,Crops,Wheat,0
2010,Australia,Northern Territory,Livestock,Eggs,0
2010,Australia,Northern Territory,Livestock,Milk,0
2010,Australia,Northern Territory,Livestock,Wool,0
2010,Australia,Northern Territory,Livestock,Cattle and Calves,0
2010,Australia,Northern Territory,Livestock,Pigs,0
2010,Australia,Northern Territory,Livestock,Poultry,0
2010,Australia,Northern Territory,Livestock,Sheep and Lambs,0
2010,Australia,Australian Capital Territory,Crops,Barley,0
2010,Australia,Australian Capital Territory,Crops,Maize,0
2010,Australia,Australian Capital Territory,Crops,Oats,0
2010,Australia,Australian Capital Territory,Crops,Rice,0
2010,Australia,Australian Capital Territory,Crops,Sorghum,0
2010,Australia,Australian Capital Territory,Crops,Wheat,0.1
2010,Australia,Australian Capital Territory,Livestock,Eggs,3.4
2010,Australia,Australian Capital Territory,Livestock,Milk,0
2010,Australia,Australian Capital Territory,Livestock,Wool,0.1
2010,Australia,Australian Capital Territory,Livestock,Cattle and Calves,0
2010,Australia,Australian Capital Territory,Livestock,Pigs,0
2010,Australia,Australian Capital Territory,Livestock,Poultry,0
2010,Australia,Australian Capital Territory,Livestock,Sheep and Lambs,0
2011,Australia,New South Wales,Crops,Barley,471
2011,Australia,New South Wales,Crops,Maize,48.3
2011,Australia,New South Wales,Crops,Oats,93.4
2011,Australia,New South Wales,Crops,Rice,171.9
2011,Australia,New South Wales,Crops,Sorghum,159.5
2011,Australia,New South Wales,Crops,Wheat,2511.4
2011,Australia,New South Wales,Livestock,Eggs,193.8
2011,Australia,New South Wales,Livestock,Milk,504.7
2011,Australia,New South Wales,Livestock,Wool,852.7
2011,Australia,New South Wales,Livestock,Cattle and Calves,1616.1
2011,Australia,New South Wales,Livestock,Pigs,166.2
2011,Australia,New South Wales,Livestock,Poultry,686
2011,Australia,New South Wales,Livestock,Sheep and Lambs,609.8
2011,Australia,Victoria,Crops,Barley,416.1
2011,Australia,Victoria,Crops,Maize,3.3
2011,Australia,Victoria,Crops,Oats,47.7
2011,Australia,Victoria,Crops,Rice,0.6
2011,Australia,Victoria,Crops,Sorghum,0.3
2011,Australia,Victoria,Crops,Wheat,1075.1
2011,Australia,Victoria,Livestock,Eggs,150.9
2011,Australia,Victoria,Livestock,Milk,2483.4
2011,Australia,Victoria,Livestock,Wool,682.8
2011,Australia,Victoria,Livestock,Cattle and Calves,1369.6
2011,Australia,Victoria,Livestock,Pigs,183.2
2011,Australia,Victoria,Livestock,Poultry,518.5
2011,Australia,Victoria,Livestock,Sheep and Lambs,1092.2
2011,Australia,Queensland,Crops,Barley,26.9
2011,Australia,Queensland,Crops,Maize,40
2011,Australia,Queensland,Crops,Oats,1.5
2011,Australia,Queensland,Crops,Rice,0.6
2011,Australia,Queensland,Crops,Sorghum,251.7
2011,Australia,Queensland,Crops,Wheat,378.4
2011,Australia,Queensland,Livestock,Eggs,149
2011,Australia,Queensland,Livestock,Milk,257.5
2011,Australia,Queensland,Livestock,Wool,117.8
2011,Australia,Queensland,Livestock,Cattle and Calves,3418.1
2011,Australia,Queensland,Livestock,Pigs,221.3
2011,Australia,Queensland,Livestock,Poultry,395.5
2011,Australia,Queensland,Livestock,Sheep and Lambs,54.9
2011,Australia,South Australia,Crops,Barley,476.4
2011,Australia,South Australia,Crops,Maize,0.3
2011,Australia,South Australia,Crops,Oats,26.9
2011,Australia,South Australia,Crops,Rice,0
2011,Australia,South Australia,Crops,Sorghum,0.1
2011,Australia,South Australia,Crops,Wheat,1676
2011,Australia,South Australia,Livestock,Eggs,14.6
2011,Australia,South Australia,Livestock,Milk,217.7
2011,Australia,South Australia,Livestock,Wool,364.1
2011,Australia,South Australia,Livestock,Cattle and Calves,312.6
2011,Australia,South Australia,Livestock,Pigs,0
2011,Australia,South Australia,Livestock,Poultry,0
2011,Australia,South Australia,Livestock,Sheep and Lambs,529.4
2011,Australia,Western Australia,Crops,Barley,329.4
2011,Australia,Western Australia,Crops,Maize,0.5
2011,Australia,Western Australia,Crops,Oats,49.9
2011,Australia,Western Australia,Crops,Rice,0.5
2011,Australia,Western Australia,Crops,Sorghum,0.3
2011,Australia,Western Australia,Crops,Wheat,1403.5
2011,Australia,Western Australia,Livestock,Eggs,48.8
2011,Australia,Western Australia,Livestock,Milk,157
2011,Australia,Western Australia,Livestock,Wool,557.3
2011,Australia,Western Australia,Livestock,Cattle and Calves,609.3
2011,Australia,Western Australia,Livestock,Pigs,0
2011,Australia,Western Australia,Livestock,Poultry,0
2011,Australia,Western Australia,Livestock,Sheep and Lambs,530.9
2011,Australia,Tasmania,Crops,Barley,8.8
2011,Australia,Tasmania,Crops,Maize,0
2011,Australia,Tasmania,Crops,Oats,1.3
2011,Australia,Tasmania,Crops,Rice,0
2011,Australia,Tasmania,Crops,Sorghum,0
2011,Australia,Tasmania,Crops,Wheat,7.5
2011,Australia,Tasmania,Livestock,Eggs,12.6
2011,Australia,Tasmania,Livestock,Milk,311.6
2011,Australia,Tasmania,Livestock,Wool,96.5
2011,Australia,Tasmania,Livestock,Cattle and Calves,179.6
2011,Australia,Tasmania,Livestock,Pigs,0
2011,Australia,Tasmania,Livestock,Poultry,0
2011,Australia,Tasmania,Livestock,Sheep and Lambs,43.4
2011,Australia,Northern Territory,Crops,Barley,0
2011,Australia,Northern Territory,Crops,Maize,0
2011,Australia,Northern Territory,Crops,Oats,0
2011,Australia,Northern Territory,Crops,Rice,0
2011,Australia,Northern Territory,Crops,Sorghum,0
2011,Australia,Northern Territory,Crops,Wheat,0
2011,Australia,Northern Territory,Livestock,Eggs,0
2011,Australia,Northern Territory,Livestock,Milk,0
2011,Australia,Northern Territory,Livestock,Wool,0
2011,Australia,Northern Territory,Livestock,Cattle and Calves,315.4
2011,Australia,Northern Territory,Livestock,Pigs,0
2011,Australia,Northern Territory,Livestock,Poultry,0
2011,Australia,Northern Territory,Livestock,Sheep and Lambs,0
2011,Australia,Australian Capital Territory,Crops,Barley,0
2011,Australia,Australian Capital Territory,Crops,Maize,0
2011,Australia,Australian Capital Territory,Crops,Oats,0
2011,Australia,Australian Capital Territory,Crops,Rice,0
2011,Australia,Australian Capital Territory,Crops,Sorghum,0
2011,Australia,Australian Capital Territory,Crops,Wheat,0.1
2011,Australia,Australian Capital Territory,Livestock,Eggs,2.5
2011,Australia,Australian Capital Territory,Livestock,Milk,0
2011,Australia,Australian Capital Territory,Livestock,Wool,1.9
2011,Australia,Australian Capital Territory,Livestock,Cattle and Calves,3
2011,Australia,Australian Capital Territory,Livestock,Pigs,0
2011,Australia,Australian Capital Territory,Livestock,Poultry,0.2
2011,Australia,Australian Capital Territory,Livestock,Sheep and Lambs,1.4
2012,Australia,New South Wales,Crops,Barley,255.22
2012,Australia,New South Wales,Crops,Maize,55.6
2012,Australia,New South Wales,Crops,Oats,41.68
2012,Australia,New South Wales,Crops,Rice,246.33
2012,Australia,New South Wales,Crops,Sorghum,142.6
2012,Australia,New South Wales,Crops,Wheat,1594.92
2012,Australia,New South Wales,Livestock,Eggs,185.18
2012,Australia,New South Wales,Livestock,Milk,515.14
2012,Australia,New South Wales,Livestock,Wool,869.45
2012,Australia,New South Wales,Livestock,Cattle and Calves,1616.06
2012,Australia,New South Wales,Livestock,Pigs,181.44
2012,Australia,New South Wales,Livestock,Poultry,655.82
2012,Australia,New South Wales,Livestock,Sheep and Lambs,615.61
2012,Australia,Victoria,Crops,Barley,367.14
2012,Australia,Victoria,Crops,Maize,5.35
2012,Australia,Victoria,Crops,Oats,51.39
2012,Australia,Victoria,Crops,Rice,1.65
2012,Australia,Victoria,Crops,Sorghum,0.62
2012,Australia,Victoria,Crops,Wheat,866.93
2012,Australia,Victoria,Livestock,Eggs,142.86
2012,Australia,Victoria,Livestock,Milk,2522.07
2012,Australia,Victoria,Livestock,Wool,670.62
2012,Australia,Victoria,Livestock,Cattle and Calves,1322.87
2012,Australia,Victoria,Livestock,Pigs,181
2012,Australia,Victoria,Livestock,Poultry,533.53
2012,Australia,Victoria,Livestock,Sheep and Lambs,1134.73
2012,Australia,Queensland,Crops,Barley,39.54
2012,Australia,Queensland,Crops,Maize,50.77
2012,Australia,Queensland,Crops,Oats,3.82
2012,Australia,Queensland,Crops,Rice,0.05
2012,Australia,Queensland,Crops,Sorghum,278.5
2012,Australia,Queensland,Crops,Wheat,413.03
2012,Australia,Queensland,Livestock,Eggs,159.25
2012,Australia,Queensland,Livestock,Milk,259.51
2012,Australia,Queensland,Livestock,Wool,115.15
2012,Australia,Queensland,Livestock,Cattle and Calves,3450.06
2012,Australia,Queensland,Livestock,Pigs,211.9
2012,Australia,Queensland,Livestock,Poultry,429.52
2012,Australia,Queensland,Livestock,Sheep and Lambs,59.11
2012,Australia,South Australia,Crops,Barley,364.78
2012,Australia,South Australia,Crops,Maize,0.4
2012,Australia,South Australia,Crops,Oats,17.76
2012,Australia,South Australia,Crops,Rice,0
2012,Australia,South Australia,Crops,Sorghum,0
2012,Australia,South Australia,Crops,Wheat,1048.53
2012,Australia,South Australia,Livestock,Eggs,19.63
2012,Australia,South Australia,Livestock,Milk,233.52
2012,Australia,South Australia,Livestock,Wool,431.91
2012,Australia,South Australia,Livestock,Cattle and Calves,354.29
2012,Australia,South Australia,Livestock,Pigs,253.51
2012,Australia,South Australia,Livestock,Poultry,289.21
2012,Australia,South Australia,Livestock,Sheep and Lambs,550.75
2012,Australia,Western Australia,Crops,Barley,691.34
2012,Australia,Western Australia,Crops,Maize,0.62
2012,Australia,Western Australia,Crops,Oats,138.55
2012,Australia,Western Australia,Crops,Rice,0.02
2012,Australia,Western Australia,Crops,Sorghum,0.28
2012,Australia,Western Australia,Crops,Wheat,2843.61
2012,Australia,Western Australia,Livestock,Eggs,61.54
2012,Australia,Western Australia,Livestock,Milk,141.56
2012,Australia,Western Australia,Livestock,Wool,549.18
2012,Australia,Western Australia,Livestock,Cattle and Calves,523.49
2012,Australia,Western Australia,Livestock,Pigs,0
2012,Australia,Western Australia,Livestock,Poultry,0
2012,Australia,Western Australia,Livestock,Sheep and Lambs,484.72
2012,Australia,Tasmania,Crops,Barley,5.16
2012,Australia,Tasmania,Crops,Maize,0
2012,Australia,Tasmania,Crops,Oats,1.53
2012,Australia,Tasmania,Crops,Rice,0
2012,Australia,Tasmania,Crops,Sorghum,0
2012,Australia,Tasmania,Crops,Wheat,8.03
2012,Australia,Tasmania,Livestock,Eggs,11.58
2012,Australia,Tasmania,Livestock,Milk,314.58
2012,Australia,Tasmania,Livestock,Wool,95.88
2012,Australia,Tasmania,Livestock,Cattle and Calves,178.26
2012,Australia,Tasmania,Livestock,Pigs,0
2012,Australia,Tasmania,Livestock,Poultry,0
2012,Australia,Tasmania,Livestock,Sheep and Lambs,53.83
2012,Australia,Northern Territory,Crops,Barley,0
2012,Australia,Northern Territory,Crops,Maize,0.37
2012,Australia,Northern Territory,Crops,Oats,0
2012,Australia,Northern Territory,Crops,Rice,0
2012,Australia,Northern Territory,Crops,Sorghum,0.79
2012,Australia,Northern Territory,Crops,Wheat,0
2012,Australia,Northern Territory,Livestock,Eggs,0
2012,Australia,Northern Territory,Livestock,Milk,0
2012,Australia,Northern Territory,Livestock,Wool,0
2012,Australia,Northern Territory,Livestock,Cattle and Calves,337.06
2012,Australia,Northern Territory,Livestock,Pigs,0
2012,Australia,Northern Territory,Livestock,Poultry,0
2012,Australia,Northern Territory,Livestock,Sheep and Lambs,0
2012,Australia,Australian Capital Territory,Crops,Barley,0
2012,Australia,Australian Capital Territory,Crops,Maize,0
2012,Australia,Australian Capital Territory,Crops,Oats,0
2012,Australia,Australian Capital Territory,Crops,Rice,0
2012,Australia,Australian Capital Territory,Crops,Sorghum,0
2012,Australia,Australian Capital Territory,Crops,Wheat,0.06
2012,Australia,Australian Capital Territory,Livestock,Eggs,0
2012,Australia,Australian Capital Territory,Livestock,Milk,0
2012,Australia,Australian Capital Territory,Livestock,Wool,1.94
2012,Australia,Australian Capital Territory,Livestock,Cattle and Calves,2.38
2012,Australia,Australian Capital Territory,Livestock,Pigs,0
2012,Australia,Australian Capital Territory,Livestock,Poultry,0
2012,Australia,Australian Capital Territory,Livestock,Sheep and Lambs,1.21
2013,Australia,New South Wales,Crops,Barley,351.47
2013,Australia,New South Wales,Crops,Maize,61.31
2013,Australia,New South Wales,Crops,Oats,56.59
2013,Australia,New South Wales,Crops,Rice,300.98
2013,Australia,New South Wales,Crops,Sorghum,198.99
2013,Australia,New South Wales,Crops,Wheat,2288.92
2013,Australia,New South Wales,Livestock,Eggs,216.56
2013,Australia,New South Wales,Livestock,Milk,497.09
2013,Australia,New South Wales,Livestock,Wool,810.59
2013,Australia,New South Wales,Livestock,Cattle and Calves,1620.9
2013,Australia,New South Wales,Livestock,Pigs,179.07
2013,Australia,New South Wales,Livestock,Poultry,722.2
2013,Australia,New South Wales,Livestock,Sheep and Lambs,485.27
2013,Australia,Victoria,Crops,Barley,533.02
2013,Australia,Victoria,Crops,Maize,6.83
2013,Australia,Victoria,Crops,Oats,56.31
2013,Australia,Victoria,Crops,Rice,0.91
2013,Australia,Victoria,Crops,Sorghum,0.94
2013,Australia,Victoria,Crops,Wheat,1038.51
2013,Australia,Victoria,Livestock,Eggs,151.83
2013,Australia,Victoria,Livestock,Milk,2283.41
2013,Australia,Victoria,Livestock,Wool,573.79
2013,Australia,Victoria,Livestock,Cattle and Calves,1302.78
2013,Australia,Victoria,Livestock,Pigs,185.36
2013,Australia,Victoria,Livestock,Poultry,562.76
2013,Australia,Victoria,Livestock,Sheep and Lambs,923.26
2013,Australia,Queensland,Crops,Barley,47.05
2013,Australia,Queensland,Crops,Maize,51.22
2013,Australia,Queensland,Crops,Oats,2.96
2013,Australia,Queensland,Crops,Rice,0
2013,Australia,Queensland,Crops,Sorghum,360.36
2013,Australia,Queensland,Crops,Wheat,511.52
2013,Australia,Queensland,Livestock,Eggs,168.38
2013,Australia,Queensland,Livestock,Milk,244.98
2013,Australia,Queensland,Livestock,Wool,100.37
2013,Australia,Queensland,Livestock,Cattle and Calves,3460.8
2013,Australia,Queensland,Livestock,Pigs,216.24
2013,Australia,Queensland,Livestock,Poultry,461.18
2013,Australia,Queensland,Livestock,Sheep and Lambs,38.59
2013,Australia,South Australia,Crops,Barley,491.27
2013,Australia,South Australia,Crops,Maize,0.23
2013,Australia,South Australia,Crops,Oats,20.12
2013,Australia,South Australia,Crops,Rice,0
2013,Australia,South Australia,Crops,Sorghum,0.24
2013,Australia,South Australia,Crops,Wheat,1138.31
2013,Australia,South Australia,Livestock,Eggs,26.21
2013,Australia,South Australia,Livestock,Milk,205.13
2013,Australia,South Australia,Livestock,Wool,382.08
2013,Australia,South Australia,Livestock,Cattle and Calves,372.82
2013,Australia,South Australia,Livestock,Pigs,251.7
2013,Australia,South Australia,Livestock,Poultry,270.65
2013,Australia,South Australia,Livestock,Sheep and Lambs,379.29
2013,Australia,Western Australia,Crops,Barley,635.82
2013,Australia,Western Australia,Crops,Maize,0.78
2013,Australia,Western Australia,Crops,Oats,127.13
2013,Australia,Western Australia,Crops,Rice,0
2013,Australia,Western Australia,Crops,Sorghum,0.61
2013,Australia,Western Australia,Crops,Wheat,2167.05
2013,Australia,Western Australia,Livestock,Eggs,76.29
2013,Australia,Western Australia,Livestock,Milk,151.47
2013,Australia,Western Australia,Livestock,Wool,520.81
2013,Australia,Western Australia,Livestock,Cattle and Calves,463.03
2013,Australia,Western Australia,Livestock,Pigs,0
2013,Australia,Western Australia,Livestock,Poultry,0
2013,Australia,Western Australia,Livestock,Sheep and Lambs,337.39
2013,Australia,Tasmania,Crops,Barley,4.5
2013,Australia,Tasmania,Crops,Maize,0
2013,Australia,Tasmania,Crops,Oats,1.79
2013,Australia,Tasmania,Crops,Rice,0
2013,Australia,Tasmania,Crops,Sorghum,0
2013,Australia,Tasmania,Crops,Wheat,9.29
2013,Australia,Tasmania,Livestock,Eggs,13.74
2013,Australia,Tasmania,Livestock,Milk,305.26
2013,Australia,Tasmania,Livestock,Wool,82.23
2013,Australia,Tasmania,Livestock,Cattle and Calves,183.15
2013,Australia,Tasmania,Livestock,Pigs,0
2013,Australia,Tasmania,Livestock,Poultry,0
2013,Australia,Tasmania,Livestock,Sheep and Lambs,54.11
2013,Australia,Northern Territory,Crops,Barley,0
2013,Australia,Northern Territory,Crops,Maize,0
2013,Australia,Northern Territory,Crops,Oats,0
2013,Australia,Northern Territory,Crops,Rice,0
2013,Australia,Northern Territory,Crops,Sorghum,0.37
2013,Australia,Northern Territory,Crops,Wheat,0
2013,Australia,Northern Territory,Livestock,Eggs,0
2013,Australia,Northern Territory,Livestock,Milk,0
2013,Australia,Northern Territory,Livestock,Wool,0
2013,Australia,Northern Territory,Livestock,Cattle and Calves,319.53
2013,Australia,Northern Territory,Livestock,Pigs,0
2013,Australia,Northern Territory,Livestock,Poultry,0
2013,Australia,Northern Territory,Livestock,Sheep and Lambs,0
2013,Australia,Australian Capital Territory,Crops,Barley,0.06
2013,Australia,Australian Capital Territory,Crops,Maize,0
2013,Australia,Australian Capital Territory,Crops,Oats,0
2013,Australia,Australian Capital Territory,Crops,Rice,0
2013,Australia,Australian Capital Territory,Crops,Sorghum,0
2013,Australia,Australian Capital Territory,Crops,Wheat,0.13
2013,Australia,Australian Capital Territory,Livestock,Eggs,0
2013,Australia,Australian Capital Territory,Livestock,Milk,0
2013,Australia,Australian Capital Territory,Livestock,Wool,1.8
2013,Australia,Australian Capital Territory,Livestock,Cattle and Calves,2.38
2013,Australia,Australian Capital Territory,Livestock,Pigs,0
2013,Australia,Australian Capital Territory,Livestock,Poultry,0
2013,Australia,Australian Capital Territory,Livestock,Sheep and Lambs,0.97
2014,Australia,New South Wales,Crops,Barley,411.02
2014,Australia,New South Wales,Crops,Maize,58.48
2014,Australia,New South Wales,Crops,Oats,56.34
2014,Australia,New South Wales,Crops,Rice,276.02
2014,Australia,New South Wales,Crops,Sorghum,122.47
2014,Australia,New South Wales,Crops,Wheat,1898.38
2014,Australia,New South Wales,Livestock,Eggs,214.8
2014,Australia,New South Wales,Livestock,Milk,528.1
2014,Australia,New South Wales,Livestock,Wool,815.97
2014,Australia,New South Wales,Livestock,Cattle and Calves,1539.95
2014,Australia,New South Wales,Livestock,Pigs,199.72
2014,Australia,New South Wales,Livestock,Poultry,767.72
2014,Australia,New South Wales,Livestock,Sheep and Lambs,639.83
2014,Australia,Victoria,Crops,Barley,521.43
2014,Australia,Victoria,Crops,Maize,12.05
2014,Australia,Victoria,Crops,Oats,50.11
2014,Australia,Victoria,Crops,Rice,2.37
2014,Australia,Victoria,Crops,Sorghum,0.12
2014,Australia,Victoria,Crops,Wheat,1105.87
2014,Australia,Victoria,Livestock,Eggs,166.29
2014,Australia,Victoria,Livestock,Milk,3125.33
2014,Australia,Victoria,Livestock,Wool,584.57
2014,Australia,Victoria,Livestock,Cattle and Calves,1462.77
2014,Australia,Victoria,Livestock,Pigs,227.82
2014,Australia,Victoria,Livestock,Poultry,608.4
2014,Australia,Victoria,Livestock,Sheep and Lambs,957
2014,Australia,Queensland,Crops,Barley,49.77
2014,Australia,Queensland,Crops,Maize,43.72
2014,Australia,Queensland,Crops,Oats,0.59
2014,Australia,Queensland,Crops,Rice,0
2014,Australia,Queensland,Crops,Sorghum,261.2
2014,Australia,Queensland,Crops,Wheat,339.18
2014,Australia,Queensland,Livestock,Eggs,190.34
2014,Australia,Queensland,Livestock,Milk,231.38
2014,Australia,Queensland,Livestock,Wool,80.33
2014,Australia,Queensland,Livestock,Cattle and Calves,3890.1
2014,Australia,Queensland,Livestock,Pigs,261.65
2014,Australia,Queensland,Livestock,Poultry,494.15
2014,Australia,Queensland,Livestock,Sheep and Lambs,60.58
2014,Australia,South Australia,Crops,Barley,465.49
2014,Australia,South Australia,Crops,Maize,0
2014,Australia,South Australia,Crops,Oats,20.68
2014,Australia,South Australia,Crops,Rice,0
2014,Australia,South Australia,Crops,Sorghum,0
2014,Australia,South Australia,Crops,Wheat,1381.13
2014,Australia,South Australia,Livestock,Eggs,38.18
2014,Australia,South Australia,Livestock,Milk,256.04
2014,Australia,South Australia,Livestock,Wool,380.06
2014,Australia,South Australia,Livestock,Cattle and Calves,403.11
2014,Australia,South Australia,Livestock,Pigs,281.92
2014,Australia,South Australia,Livestock,Poultry,285.24
2014,Australia,South Australia,Livestock,Sheep and Lambs,491.1
2014,Australia,Western Australia,Crops,Barley,998.35
2014,Australia,Western Australia,Crops,Maize,1.38
2014,Australia,Western Australia,Crops,Oats,137.06
2014,Australia,Western Australia,Crops,Rice,0
2014,Australia,Western Australia,Crops,Sorghum,0.51
2014,Australia,Western Australia,Crops,Wheat,3261.57
2014,Australia,Western Australia,Livestock,Eggs,83.13
2014,Australia,Western Australia,Livestock,Milk,153.39
2014,Australia,Western Australia,Livestock,Wool,581.83
2014,Australia,Western Australia,Livestock,Cattle and Calves,578.74
2014,Australia,Western Australia,Livestock,Pigs,0
2014,Australia,Western Australia,Livestock,Poultry,0
2014,Australia,Western Australia,Livestock,Sheep and Lambs,409.93
2014,Australia,Tasmania,Crops,Barley,6.92
2014,Australia,Tasmania,Crops,Maize,0
2014,Australia,Tasmania,Crops,Oats,2.75
2014,Australia,Tasmania,Crops,Rice,0
2014,Australia,Tasmania,Crops,Sorghum,0
2014,Australia,Tasmania,Crops,Wheat,11.85
2014,Australia,Tasmania,Livestock,Eggs,0
2014,Australia,Tasmania,Livestock,Milk,435.18
2014,Australia,Tasmania,Livestock,Wool,0
2014,Australia,Tasmania,Livestock,Cattle and Calves,202.57
2014,Australia,Tasmania,Livestock,Pigs,0
2014,Australia,Tasmania,Livestock,Poultry,0
2014,Australia,Tasmania,Livestock,Sheep and Lambs,81.63
2014,Australia,Northern Territory,Crops,Barley,0
2014,Australia,Northern Territory,Crops,Maize,0
2014,Australia,Northern Territory,Crops,Oats,0
2014,Australia,Northern Territory,Crops,Rice,0.1
2014,Australia,Northern Territory,Crops,Sorghum,0
2014,Australia,Northern Territory,Crops,Wheat,0
2014,Australia,Northern Territory,Livestock,Eggs,0
2014,Australia,Northern Territory,Livestock,Milk,0
2014,Australia,Northern Territory,Livestock,Wool,0
2014,Australia,Northern Territory,Livestock,Cattle and Calves,464.85
2014,Australia,Northern Territory,Livestock,Pigs,0
2014,Australia,Northern Territory,Livestock,Poultry,0
2014,Australia,Northern Territory,Livestock,Sheep and Lambs,0
2014,Australia,Australian Capital Territory,Crops,Barley,0.06
2014,Australia,Australian Capital Territory,Crops,Maize,0
2014,Australia,Australian Capital Territory,Crops,Oats,0
2014,Australia,Australian Capital Territory,Crops,Rice,0
2014,Australia,Australian Capital Territory,Crops,Sorghum,0
2014,Australia,Australian Capital Territory,Crops,Wheat,0.09
2014,Australia,Australian Capital Territory,Livestock,Eggs,0
2014,Australia,Australian Capital Territory,Livestock,Milk,0
2014,Australia,Australian Capital Territory,Livestock,Wool,0
2014,Australia,Australian Capital Territory,Livestock,Cattle and Calves,1.84
2014,Australia,Australian Capital Territory,Livestock,Pigs,0
2014,Australia,Australian Capital Territory,Livestock,Poultry,0
2014,Australia,Australian Capital Territory,Livestock,Sheep and Lambs,0.88
2015,Australia,New South Wales,Crops,Barley,564.29
2015,Australia,New South Wales,Crops,Maize,78.74
2015,Australia,New South Wales,Crops,Oats,85.13
2015,Australia,New South Wales,Crops,Rice,271.59
2015,Australia,New South Wales,Crops,Sorghum,178.73
2015,Australia,New South Wales,Crops,Wheat,1964.04
